Fire_ID,mean_temperature,sum_precipitation_mm,sum_precipitation_m
RED60_2002_175,20.02,5334.23,5.33
RED60_2012_1899,19.75,4757.66,4.76
RED61_2001_65,19.16,4630.38,4.63
RED61_2012_1843,19.96,4724.23,4.72
RED62_1995_351,20.12,5539.74,5.54
RED62_1999_382,19.44,5275.09,5.28
RED62_2001_45,19.91,5210.99,5.21
RED62_2003_1478,19.83,5017.23,5.02
RED62_2012_1936,19.72,4699.87,4.7
RED63_1989_1231,20.21,4709.88,4.71
RED63_2002_171,19.68,5293.13,5.29
RED63_2012_1923,19.85,4662.26,4.66
RED64_1989_838,20.25,4669.83,4.67
RED64_2012_1905,19.85,4662.26,4.66
RED65_2002_165,19.47,4713.45,4.71
RED65_2011_1777,20.97,4887.86,4.89
RED66_2002_181,19.16,4539.52,4.54
RED66_2011_1723,20.76,4722.78,4.72
RED66_2012_1900,20.0,4731.73,4.73
RED67_2011_1724,20.76,4722.78,4.72
RED68_1989_585,19.49,4213.96,4.21
RED68_2003_1428,19.93,5120.73,5.12
RED69_1989_709,19.55,4409.67,4.41
RED69_2006_1673,19.8,4711.21,4.71
RED69_2012_1839,20.07,4700.8,4.7
RED70_1989_459,20.07,4863.19,4.86
RED70_2012_1937,20.31,4707.17,4.71
RED71_1998_380,19.56,5382.87,5.38
RED71_2012_1918,20.78,4913.18,4.91
RED72_1989_356,19.68,4506.18,4.51
RED72_2011_1816,21.01,4863.95,4.86
RED72_2012_1906,20.46,4734.16,4.73
RED73_2011_1801,20.62,4616.09,4.62
RED74_1989_442,19.8,4457.84,4.46
RED74_1995_590,19.54,5192.4,5.19
RED75_1989_1191,20.03,4401.21,4.4
RED75_1996_243,19.29,5020.11,5.02
RED76_1989_711,20.13,4685.62,4.69
RED77_1988_789,20.26,4822.12,4.82
RED77_1995_1467,20.05,5538.73,5.54
RED7_1986_119,20.81,4864.05,4.86
RED7_1994_604,19.29,5265.58,5.27
RED7_2008_1665,19.73,4552.19,4.55
RED7_2009_1725,20.21,5252.6,5.25
RED81_1989_1278,19.47,4175.41,4.18
RED82_1995_139,19.45,5225.39,5.23
RED82_2003_1498,19.63,5103.07,5.1
RED82_2011_1800,19.95,4925.91,4.93
RED83_1991_1455,19.66,5101.44,5.1
RED83_1995_959,19.72,5486.72,5.49
RED84_1995_1024,19.34,5379.0,5.38
RED84_2006_1576,20.27,5158.63,5.16
RED85_2011_1818,21.16,4860.31,4.86
RED86_1995_1283,20.59,5749.83,5.75
RED88_1995_497,19.68,5232.8,5.23
RED8_1987_393,20.69,4725.73,4.73
RED90_2003_1422,19.23,4551.81,4.55
RED91_1995_1240,19.42,5233.69,5.23
RED91_2003_1438,19.36,4629.51,4.63
RED91_2011_1702,20.46,4876.2,4.88
RED93_1995_667,19.48,5244.3,5.24
RED93_2003_1545,19.6,4693.48,4.69
RED93_2011_1738,20.75,5077.07,5.08
RED94_2012_1854,20.35,4656.44,4.66
RED96_2011_1804,20.26,4695.4,4.7
RED99_1988_326,20.13,4480.37,4.48
RED9_1997_1238,20.26,5530.53,5.53
SIO100_1988_128,20.02,4600.89,4.6
SIO101_1989_1327,18.97,4034.61,4.03
SIO103_1989_769,19.07,4050.14,4.05
SIO104_1989_1252,19.17,4079.46,4.08
SIO106_1988_958,20.23,4473.41,4.47
SIO106_1989_507,19.99,4714.81,4.71
SIO107_1989_1190,19.92,4784.39,4.78
SIO107_1991_1197,19.37,4908.46,4.91
SIO109_1988_304,19.94,4753.09,4.75
SIO10_1989_285,19.16,4073.07,4.07
SIO110_1991_1347,19.29,4870.01,4.87
SIO114_1989_636,19.18,4492.26,4.49
SIO118_1989_864,19.84,4571.54,4.57
SIO119_1989_751,19.68,4576.7,4.58
SIO119_1991_1398,19.78,5111.07,5.11
SIO11_1989_1345,19.08,4064.3,4.06
SIO120_1989_482,19.97,4585.05,4.59
SIO122_1988_1264,20.24,4466.52,4.47
SIO123_1989_804,19.26,4043.24,4.04
SIO125_1988_1015,20.24,4504.41,4.5
SIO127_1988_1397,19.34,4350.46,4.35
SIO12_1989_858,19.47,4405.78,4.41
SIO133_1989_1335,19.03,4056.47,4.06
SIO134_1989_770,19.4,4456.16,4.46
SIO135_1989_115,19.41,4452.98,4.45
SIO139_1988_371,19.52,3948.28,3.95
SIO139_1989_1267,19.23,4346.88,4.35
SIO143_1989_564,19.58,4410.33,4.41
SIO150_1989_1106,19.28,4027.18,4.03
SIO153_1989_503,19.66,4444.01,4.44
SIO156_1989_1102,20.06,4599.01,4.6
SIO159_1988_1389,19.48,4301.78,4.3
SIO162_1989_1054,19.23,4382.83,4.38
SIO164_1989_269,19.98,4863.2,4.86
SIO16_1989_224,20.06,4594.88,4.59
SIO16_1989_930,18.69,4121.11,4.12
SIO171_1989_1011,19.76,4525.65,4.53
SIO178_1989_81,19.47,4522.54,4.52
SIO179_1988_934,20.08,4546.95,4.55
SIO179_1989_108,19.4,4264.63,4.26
SIO18_1988_780,20.03,4800.7,4.8
SIO18_1993_657,19.39,4645.07,4.65
SIO196_1988_118,19.9,4537.64,4.54
SIO19_1989_130,20.28,4398.04,4.4
SIO208_1988_1287,20.21,4522.49,4.52
SIO209_1988_988,19.97,4538.48,4.54
SIO20_1992_878,19.73,4873.1,4.87
SIO20_1993_1446,20.22,5047.9,5.05
SIO22_1989_111,18.73,4362.57,4.36
SIO22_1990_339,19.11,4229.36,4.23
SIO22_1993_1099,18.33,4833.88,4.83
SIO23_1992_401,19.08,5014.55,5.01
SIO24_1992_533,18.04,4794.28,4.79
SIO25_1992_1271,19.55,5209.54,5.21
